Month,Incident Number,Date of Incident,Day of Week,Number of Victims under 18,Number of Victims over 18,Number of Offenders under 18,Number of Offenders over 18,Race/Ethnicity of Offenders,Offense(s),Offense Location,Bias,Zip Code,APD Sector,Council District
Nov,2017-400181,12/29/2017 12:00:00 AM,Thu,0,1,0,1,Other,Burglary,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,78702,Henry,10
Mar,2017-645127,12-11-2017 00:00,Sun,0,2,2,1,Other,Robbery,Home/Residence,Anti-Other,78702,David,10
Apr,2017-412956,11/25/2017 12:00:00 AM,Fri,0,3,2,1,Hispanic,Theft,Home/Residence,Anti-Other,78702,Charlie,3
Jun,2017-227666,08-11-2017 00:00,Thu,2,1,2,2,Unknown,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-White,78702,Charlie,7
Aug,2017-426129,06/25/2017 12:00:00 AM,Sat,1,1,2,3,Other,Robbery,School/College,Anti-Hispanic,78701,David,3
Dec,2017-211031,03/19/2017 12:00:00 AM,Sat,2,1,0,0,Asian,Theft,Other,Anti-Asian,78704,Ida,10
Apr,2017-457257,06/17/2017 12:00:00 AM,Fri,2,0,1,1,White/Not Hispanic,Theft,Other,Anti-White,78704,Ida,4
Jun,2017-979310,01-08-2017 00:00,Sat,2,3,0,0,Black or African American/Not Hispanic,Theft,Park/Playground,Anti-Jewish,78704,Edward,5
Apr,2017-107243,12-12-2017 00:00,Mon,2,0,1,2,Hispanic,Destruction,Home/Residence,Anti-Other,78705,Charlie,4
Jan,2017-370811,09/23/2017 12:00:00 AM,Fri,1,2,2,2,Unknown,Vandalism,Store/Shop,Anti-Jewish,78704,Charlie,2
Jan,2017-434731,05/17/2017 12:00:00 AM,Tue,2,1,0,3,White/Not Hispanic,Theft,Home/Residence,Anti-Black or African American,78704,Edward,9
Dec,2017-176229,03/26/2017 12:00:00 AM,Sat,0,0,1,2,Hispanic,Aggravated Assault,Park/Playground,Anti-White,78702,Edward,4
May,2017-424076,02/24/2017 12:00:00 AM,Thu,2,0,0,1,Black or African American/Not Hispanic,Theft,Store/Shop,Anti-Jewish,78705,David,6
Aug,2017-535152,02/17/2017 12:00:00 AM,Thu,0,1,1,0,White/Not Hispanic,Burglary,Park/Playground,Anti-Black or African American,78701,David,7
Oct,2017-644663,11/15/2017 12:00:00 AM,Tue,2,2,1,2,Hispanic,Destruction,Store/Shop,Anti-Jewish,78702,Henry,7
Feb,2017-340706,04/18/2017 12:00:00 AM,Mon,0,2,1,2,Asian,Vandalism,School/College,Anti-Hispanic,78705,Edward,3
Jul,2017-634386,05/19/2017 12:00:00 AM,Thu,2,3,1,2,Asian,Theft,Other,Anti-Jewish,78757,Henry,9
Apr,2017-820375,11/13/2017 12:00:00 AM,Sun,1,0,2,1,Black or African American/Not Hispanic,Theft,Store/Shop,Anti-Other,78705,Ida,7
Aug,2017-502513,06-04-2017 00:00,Sat,1,1,2,3,Other,Theft,Store/Shop,Anti-Asian,78701,Ida,9
Aug,2017-629345,07/22/2017 12:00:00 AM,Fri,2,2,1,3,Asian,Burglary,Home/Residence,Anti-Jewish,78701,Charlie,4
Jun,2017-464806,10/20/2017 12:00:00 AM,Thu,1,2,1,2,White/Not Hispanic,Destruction,Home/Residence,Anti-Asian,78704,David,1
May,2017-763823,09-01-2017 00:00,Thu,1,0,2,1,Other,Robbery,Store/Shop,Anti-Black or African American,78757,David,2
Apr,2017-851023,12/19/2017 12:00:00 AM,Mon,0,2,1,2,White/Not Hispanic,Aggravated Assault,Park/Playground,Anti-Other,78705,Edward,8
Apr,2017-600644,04-08-2017 00:00,Fri,0,1,2,1,White/Not Hispanic,Burglary,Store/Shop,Anti-Jewish,78704,Henry,9
Jun,2017-367441,08/20/2017 12:00:00 AM,Sat,2,1,0,3,Black or African American/Not Hispanic,Vandalism,School/College,Anti-Other,78704,Ida,7
Dec,2017-398547,05-06-2017 00:00,Fri,1,3,0,0,White/Not Hispanic,Theft,Park/Playground,Anti-Hispanic,78702,Henry,10
Aug,2017-829796,11/15/2017 12:00:00 AM,Tue,0,3,0,3,Other,Aggravated Assault,Other,Anti-Hispanic,78705,Edward,9
Feb,2017-553925,09-10-2017 00:00,Sat,1,3,2,3,Hispanic,Robbery,School/College,Anti-Asian,78704,Edward,2
Feb,2017-671417,01/13/2017 12:00:00 AM,Thu,2,2,0,3,Asian,Robbery,Other,Anti-Hispanic,78701,Ida,6
Jan,2017-101640,04/23/2017 12:00:00 AM,Sat,1,2,0,3,White/Not Hispanic,Burglary,Home/Residence,Anti-Asian,78701,Henry,9
Oct,2017-377014,01-10-2017 00:00,Mon,2,0,1,0,Other,Destruction,Other,Anti-Asian,78705,David,7
Sep,2017-416898,11-04-2017 00:00,Fri,1,2,1,3,Unknown,Burglary,Other,Anti-Hispanic,78701,Ida,3
Mar,2017-720597,02/20/2017 12:00:00 AM,Sun,0,2,2,2,Hispanic,Aggravated Assault,Home/Residence,Anti-Other,78701,Henry,8
Mar,2017-582151,12-03-2017 00:00,Sat,0,1,0,3,Black or African American/Not Hispanic,Theft,Store/Shop,Anti-Other,78704,Edward,2
Apr,2017-544380,03/23/2017 12:00:00 AM,Wed,2,1,2,3,Asian,Theft,Park/Playground,Anti-White,78702,Henry,10
Sep,2017-759315,01/25/2017 12:00:00 AM,Tue,0,0,2,2,Black or African American/Not Hispanic,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic,78757,Henry,9
Aug,2017-510211,07/25/2017 12:00:00 AM,Mon,2,2,1,1,Other,Burglary,Home/Residence,Anti-Black or African American,78757,Henry,2
Nov,2017-244386,01-07-2017 00:00,Fri,2,2,0,0,Other,Aggravated Assault,Park/Playground,Anti-Other,78704,Henry,2
Feb,2017-298581,03/16/2017 12:00:00 AM,Wed,0,2,2,3,Hispanic,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,78705,Henry,9
Sep,2017-265244,12/22/2017 12:00:00 AM,Thu,2,2,0,1,Black or African American/Not Hispanic,Robbery,Park/Playground,Anti-Jewish,78702,Edward,6
Jul,2017-884945,04-04-2017 00:00,Mon,2,0,1,2,Hispanic,Robbery,School/College,Anti-Jewish,78702,Edward,8
Mar,2017-378590,01/13/2017 12:00:00 AM,Thu,2,2,0,3,White/Not Hispanic,Destruction,School/College,Anti-Jewish,78757,Ida,4
May,2017-347222,04-03-2017 00:00,Sun,0,0,1,2,Black or African American/Not Hispanic,Burglary,Store/Shop,Anti-Asian,78702,Henry,2
Jan,2017-482944,09-10-2017 00:00,Sat,0,3,2,1,Hispanic,Burglary,School/College,Anti-Jewish,78705,Henry,9
Dec,2017-653953,02-08-2017 00:00,Tue,2,3,2,3,Unknown,Destruction,Store/Shop,Anti-Hispanic,78701,David,3
Mar,2017-818186,01/23/2017 12:00:00 AM,Sun,1,0,0,1,Hispanic,Destruction,School/College,Anti-Other,78757,David,3
Mar,2017-353242,06/19/2017 12:00:00 AM,Sun,1,2,2,2,Unknown,Vandalism,School/College,Anti-Black or African American,78705,David,10
Apr,2017-978962,04-01-2017 00:00,Fri,2,0,1,2,Unknown,Theft,Other,Anti-Other,78705,Ida,3
Apr,2017-973257,01/16/2017 12:00:00 AM,Sun,0,1,1,3,Unknown,Burglary,School/College,Anti-Hispanic,78705,Henry,8
Sep,2017-726612,10/23/2017 12:00:00 AM,Sun,1,1,2,1,Other,Theft,School/College,Anti-White,78702,Edward,1
Jun,2017-151458,06/14/2017 12:00:00 AM,Tue,1,2,2,2,Asian,Aggravated Assault,Other,Anti-Other,78705,Charlie,6
May,2017-420548,07/27/2017 12:00:00 AM,Wed,1,1,2,1,Unknown,Theft,Park/Playground,Anti-Jewish,78757,Ida,2
Aug,2017-655523,12-07-2017 00:00,Wed,0,3,0,1,Other,Destruction,School/College,Anti-Hispanic,78757,Ida,3
Sep,2017-385132,06/16/2017 12:00:00 AM,Thu,2,2,1,1,Other,Burglary,School/College,Anti-Other,78701,Edward,5
Dec,2017-591404,10-05-2017 00:00,Wed,0,3,0,0,White/Not Hispanic,Burglary,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic,78701,David,1
Aug,2017-587793,06-12-2017 00:00,Sun,1,2,2,3,Unknown,Aggravated Assault,School/College,Anti-Asian,78704,Henry,10
